id,name,spotify_uri
0,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
1,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X
2,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
3,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
4,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
5,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
6,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
7,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
8,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60
9,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
10,J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
11,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
12,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
13,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
14,Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
15,Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q
16,XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4
17,Ozuna,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY
18,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny
19,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
20,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
21,Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP
22,David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
23,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
24,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
25,Daddy Yankee,spotify:artist:4VMYDCV2IEDYJArk749S6m
26,Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY
27,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
28,Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI
29,Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d
30,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m
31,Adele,spotify:artist:4dpARuHxo51G3z768sgnrY
32,Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
33,One Direction,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq
34,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp
35,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
36,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms
37,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
38,Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
39,Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2
40,The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2
41,Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
42,Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
43,Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
44,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3
45,Marshmello,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
46,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz
47,Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
48,Twenty One Pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx
49,Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq
50,Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X
51,Kygo,spotify:artist:23fqKkggKUBHNkbKtXEls4
52,Avicii,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
53,Lana Del Rey,spotify:artist:00FQb4jTyendYWaN8pK0wa
54,Farruko,spotify:artist:329e4yvIujISKGKz1BZZbO
55,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5
56,Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF
57,Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
58,Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH
59,Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
60,Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp
61,Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp
62,Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6
63,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
64,Nicky Jam,spotify:artist:1SupJlEpv7RS2tPNRaHViT
65,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm
66,Lil Baby,spotify:artist:5f7VJjfbwm532GiveGC0ZK
67,Myke Towers,spotify:artist:7iK8PXO48WeuP03g8YR51W
68,Charlie Puth,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
69,Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg
70,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ
71,Sebastian Yatra,spotify:artist:07YUOmWljBTXwIseAUd9TW
72,DaBaby,spotify:artist:4r63FhuTkUYltbVAg5TQnk
73,21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft
74,Mac Miller,spotify:artist:4LLpKhyESsyAXpc4laK94U
75,Panic! At The Disco,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK
76,Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB
77,Sech,spotify:artist:2cquAhD0Pl4KGCODyGHmq0
78,Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865
79,Young Thug,spotify:artist:50co4Is1HCEo8bhOyUWKpn
80,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG
81,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB
82,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z
83,Ellie Goulding,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
84,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp
85,Alan Walker,spotify:artist:7vk5e3vY1uw9plTHJAMwjN
86,Wiz Khalifa,spotify:artist:137W8MRPWKqSmrBGDBFSop
87,Lil Peep,spotify:artist:2kCcBybjl3SAtIcwdWpUe3
88,Diplo,spotify:artist:5fMUXHkw8R8eOP2RNVYEZX
89,Fall Out Boy,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX
90,Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b
91,AC/DC,spotify:artist:711MCceyCBcFnzjGY4Q7Un
92,P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR
93,John Mayer,spotify:artist:0hEurMDQu99nJRq8pTxO14
94,Logic,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L
95,Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG
96,Trippie Redd,spotify:artist:6Xgp2XMz1fhVYe7i6yNAax
97,Gunna,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
98,Tyga,spotify:artist:5LHRHt1k9lMyONurDHEdrp
99,James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM
100,Little Mix,spotify:artist:3e7awlrlDSwF3iM0WBjGMp
101,Macklemore,spotify:artist:3JhNCzhSMTxs9WLGJJxWOY
102,ZAYN,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81
103,DJ Snake,spotify:artist:540vIaP2JwjQb9dm3aArA4
104,Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
105,Kodak Black,spotify:artist:46SHBwWsqBkxI7EeeBEQG7
106,"Tyler, The Creator",spotify:artist:4V8LLVI7PbaPR0K2TGSxFF
